,game_idx,ai_treatment,hint_treatment,is_tutorial_game,reward,hit_goals,designed_goals,player0_move,player1_move
6911,852,0,1,False,4,"(0, 3)","(1, 3)","[0, 0, 3, 1, 1, 3, 0, 3, 0, 0]","[0, 0, 2, 2, 4, 4, 4, 4, 4, 4]"
6912,107,0,1,False,10,"(0, 2)","(0, 2)","[1, 2, 1, 2, 2]","[1, 1, 1, 1, 4]"
6913,677,0,1,False,4,"(0, 3)","(1, 3)","[2, 3, 2, 2, 2, 0, 2, 2, 2, 2, 0]","[3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]"
6914,250,0,1,False,10,"(0, 2)","(0, 2)","[0, 0, 0, 0, 0, 1, 2]","[2, 2, 0, 0, 0, 3, 4]"
6915,220,0,1,False,4,"(0, 3)","(1, 3)","[1, 2, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 2, 0, 2, 2, 4, 4]"
6916,661,0,1,False,10,"(0, 2)","(0, 2)","[1, 1, 3, 3, 0, 3, 3, 0, 3, 3]","[2, 1, 1, 2, 2, 2, 0, 0, 2, 4]"
6917,401,0,1,False,10,"(1, 3)","(1, 3)","[0, 1, 1, 2, 2, 2, 2]","[0, 0, 3, 3, 0, 4, 4]"
6918,226,0,1,False,4,"(1, 2)","(0, 2)","[3, 0, 0, 3, 3, 3, 1, 3, 4]","[0, 2, 0, 2, 0, 0, 0, 0, 2]"
6919,552,0,1,False,10,"(1, 3)","(1, 3)","[0, 2, 0, 0]","[0, 2, 2, 0]"
6920,405,0,1,False,4,"(0, 3)","(1, 3)","[1, 1, 1, 1, 1, 1, 1, 2, 2]","[1, 1, 1, 1, 4, 4, 4, 4, 4]"
6921,654,0,1,False,10,"(0, 2)","(0, 2)","[0, 2, 2, 2, 2, 2, 0, 0, 2, 1]","[0, 2, 2, 1, 2, 2, 2, 4, 4, 4]"
6922,931,0,1,False,4,"(0, 3)","(1, 3)","[1, 1, 1, 4, 4]","[1, 1, 1, 2, 2]"
6923,419,0,1,False,4,"(1, 2)","(0, 2)","[3, 3, 1, 1, 4, 4]","[0, 0, 0, 3, 3, 3]"
6924,833,0,1,False,-10,"(-1, -1)","(0, 2)","[0, 0, 0, 2]","[3, 1, 1, 3]"
6925,149,0,1,False,10,"(0, 2)","(0, 2)","[2, 2, 0, 0, 3, 3, 3, 3]","[1, 1, 1, 2, 1, 2, 2, 2]"
6926,775,0,1,False,4,"(1, 2)","(0, 2)","[2, 0, 1, 0, 3, 3, 0, 0, 0, 0, 3, 3, 3, 0, 0]","[0, 0, 0, 2, 2, 2, 2, 2, 1, 4, 4, 4, 4, 4, 4]"
6927,65,0,1,False,10,"(0, 2)","(0, 2)","[2, 2, 2, 2, 3, 3, 1, 1, 1, 3, 3, 3, 3, 1, 3, 0]","[1, 3, 1, 1, 1, 3, 1, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
6928,345,0,1,False,10,"(0, 2)","(0, 2)","[0, 2, 3, 1, 0, 1, 3, 3, 3, 3, 3, 2, 2, 1, 0, 1, 1]","[1, 3, 3, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6929,910,0,1,False,-10,"(-1, -1)","(0, 2)","[2, 2]","[0, 0]"
6930,1001,2,0,True,10,"(1, 3)","(1, 3)","[0, 1, 2, 2, 2, 2]","[0, 3, 3, 3, 4, 4]"
6931,1002,2,0,True,10,"(0, 2)","(0, 2)","[1, 3, 3, 3, 3, 3, 3]","[0, 1, 2, 1, 1, 3, 3]"
6932,1003,2,0,True,10,"(0, 2)","(0, 2)","[0, 3, 3, 3, 3, 3, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 1, 2, 3, 3, 3]"
6933,304,2,0,False,10,"(0, 2)","(0, 2)","[3, 0, 0, 0, 0, 0]","[1, 1, 3, 3, 3, 3]"
6934,292,2,0,False,10,"(1, 3)","(1, 3)","[3, 3, 3, 3, 3, 3, 3]","[0, 0, 1, 1, 3, 1, 3]"
6935,104,2,0,False,10,"(0, 2)","(0, 2)","[1, 0, 2, 2, 2, 2, 0, 0]","[0, 3, 0, 3, 3, 3, 4, 4]"
6936,790,2,0,False,10,"(1, 3)","(1, 3)","[0, 0, 0, 3, 4, 4, 4, 4, 4]","[1, 1, 1, 3, 3, 3, 3, 3, 1]"
6937,986,2,0,False,-10,"(0, -1)","(1, 3)","[0, 3, 3, 3, 4]","[0, 0, 0, 2, 0]"
6938,751,2,0,False,4,"(0, 3)","(1, 3)","[2, 2, 1, 1, 3, 1]","[2, 1, 1, 2, 2, 4]"
6939,88,2,0,False,10,"(0, 2)","(0, 2)","[2, 1, 2, 2, 2, 1, 1, 1, 1]","[0, 0, 0, 0, 3, 0, 0, 0, 3]"
6940,287,2,0,False,10,"(0, 2)","(0, 2)","[3, 3, 3, 3, 0, 0]","[0, 0, 0, 0, 4, 4]"
6941,781,2,0,False,10,"(0, 2)","(0, 2)","[2, 0, 2, 0, 0, 0]","[0, 3, 1, 1, 1, 1]"
6942,331,2,0,False,10,"(0, 2)","(0, 2)","[2, 2, 2, 2, 2, 0, 3]","[0, 2, 0, 0, 3, 0, 4]"
6943,530,2,0,False,10,"(0, 2)","(0, 2)","[0, 0, 2, 2]","[1, 1, 2, 1]"
6944,61,2,0,False,10,"(0, 2)","(0, 2)","[2, 1, 1, 1, 1, 1]","[0, 0, 0, 2, 2, 4]"
6945,808,2,0,False,10,"(1, 3)","(1, 3)","[3, 3, 3, 3, 3, 3, 0, 2]","[1, 3, 1, 1, 3, 3, 3, 4]"
6946,6,2,0,False,0,"(-1, 3)","(1, 3)","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 1, 1, 1]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6947,215,2,0,False,10,"(0, 2)","(0, 2)","[1, 0, 2, 2, 0, 2, 0, 0, 2, 2]","[3, 1, 1, 3, 3, 3, 3, 1, 4, 4]"
6948,978,2,0,False,10,"(1, 3)","(1, 3)","[3, 0, 3, 0]","[0, 0, 0, 3]"
6949,386,2,0,False,10,"(1, 3)","(1, 3)","[3, 0, 0, 0, 0]","[2, 2, 2, 1, 1]"
6950,923,2,0,False,4,"(1, 2)","(0, 2)","[0, 2, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 3, 3]"
6951,428,2,0,False,4,"(1, 2)","(0, 2)","[3, 3, 3, 3, 2, 0, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 2, 2, 2, 1, 2, 2]"
6952,193,2,0,False,10,"(1, 3)","(1, 3)","[1, 1, 2, 2, 2, 4, 4, 4]","[1, 1, 1, 1, 2, 2, 2, 2]"
6953,22,2,0,False,10,"(1, 3)","(1, 3)","[3, 1, 3, 1, 1, 1, 1, 0, 2]","[2, 2, 2, 0, 0, 2, 0, 4, 4]"
6954,847,2,0,False,4,"(0, 3)","(1, 3)","[1, 1, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 1]"
6955,381,2,0,False,10,"(0, 2)","(0, 2)","[0, 3, 3, 3, 1, 3, 4, 4]","[0, 0, 0, 3, 3, 3, 3, 1]"
6956,692,2,0,False,10,"(0, 2)","(0, 2)","[3, 1, 3, 3, 4, 4]","[0, 0, 2, 2, 1, 2]"
6957,427,2,0,False,10,"(1, 3)","(1, 3)","[0, 0, 3, 3, 3, 4, 4, 4]","[1, 2, 1, 2, 2, 2, 1, 2]"
6958,328,2,0,False,-10,"(-1, -1)","(0, 2)","[0, 0, 2, 0, 0]","[1, 3, 3, 3, 1]"
6959,322,2,0,False,10,"(1, 3)","(1, 3)","[2, 2, 0, 0, 0, 0]","[1, 2, 1, 1, 1, 2]"
6960,391,2,0,False,10,"(1, 3)","(1, 3)","[0, 0, 0, 2]","[3, 3, 3, 3]"
6961,62,2,0,False,10,"(1, 3)","(1, 3)","[1, 1, 1, 1, 1]","[1, 1, 2, 2, 1]"
6962,857,2,0,False,4,"(1, 2)","(0, 2)","[1, 1, 1, 1]","[0, 3, 0, 3]"
6963,1001,0,1,True,10,"(1, 3)","(1, 3)","[0, 1, 2, 2, 2, 2]","[0, 3, 3, 3, 4, 4]"
6964,1002,0,1,True,10,"(0, 2)","(0, 2)","[3, 3, 0, 1, 1, 3, 3, 3, 3]","[1, 2, 1, 1, 3, 3, 4, 4, 4]"
6965,1003,0,1,True,10,"(0, 2)","(0, 2)","[0, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 2]","[1, 1, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4]"
6966,913,0,1,False,10,"(1, 3)","(1, 3)","[1, 3, 1, 1, 1, 2, 4]","[1, 2, 1, 1, 3, 3, 3]"
6967,827,0,1,False,10,"(1, 3)","(1, 3)","[0, 0, 3, 0, 0, 0, 2, 2, 2, 2, 2, 2]","[0, 0, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]"
6968,667,0,1,False,10,"(1, 3)","(1, 3)","[3, 3, 0, 0, 0, 0, 0]","[0, 0, 0, 3, 3, 4, 4]"
6969,95,0,1,False,10,"(0, 2)","(0, 2)","[0, 1, 1, 1, 1, 2, 4, 4, 4, 4, 4]","[0, 2, 2, 0, 2, 0, 0, 0, 3, 0, 3]"
6970,650,0,1,False,4,"(1, 2)","(0, 2)","[0, 2, 0, 4]","[1, 1, 2, 1]"
