,human_belief,treatment,game_idx,designed_goal,player0_move,player1_move
162,0,0,95,0,"[1, 1, 1, 1]","[1, 1, 1, 1]"
163,1,0,186,1,"[2, 0, 2, 0, 0]","[2, 0, 2, 0, 0]"
164,1,0,125,1,"[1, 1, 3, 3]","[1, 1, 3, 3]"
165,1,0,178,1,"[1, 1, 1, 1]","[1, 1, 1, 1]"
166,0,0,215,0,"[3, 3, 0, 3]","[3, 3, 0, 3]"
167,1,0,2,1,"[3, 0, 0, 3, 3]","[3, 0, 0, 3, 3]"
168,1,0,127,1,"[1, 3, 3, 3, 0]","[1, 3, 3, 3, 0]"
169,1,0,249,1,"[0, 2, 2, 2]","[0, 2, 2, 2]"
170,0,0,130,0,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]"
171,0,0,134,0,"[1, 3, 1, 1]","[1, 3, 1, 1]"
172,0,0,89,0,"[0, 0, 0, 3, 3, 0]","[0, 0, 0, 3, 3, 0]"
173,1,0,248,1,"[1, 1, 2, 2, 2]","[1, 1, 2, 2, 2]"
174,1,0,205,1,"[1, 3, 1, 1, 1, 1]","[1, 3, 1, 1, 1, 1]"
175,0,0,76,0,"[2, 0, 0, 0, 2]","[2, 0, 0, 0, 2]"
176,0,0,150,0,"[3, 3, 0, 3, 3]","[3, 3, 0, 3, 3]"
177,0,0,218,0,"[2, 2, 1, 1]","[2, 2, 1, 1]"
178,1,0,148,1,"[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]"
179,0,0,73,0,"[3, 0, 0, 0, 0, 2, 2]","[3, 0, 0, 0, 0, 2, 2]"
180,0,1,210,1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
181,0,1,245,1,"[0, 0, 0, 2, 0, 2]","[0, 0, 0, 2, 0, 2]"
182,1,1,8,1,"[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]"
183,1,1,174,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
184,0,1,230,0,"[1, 2, 1, 2]","[1, 2, 1, 2]"
185,1,1,67,1,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]"
186,0,1,165,1,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
187,1,1,248,1,"[0, 0, 0, 1, 1]","[0, 0, 0, 1, 1]"
188,1,1,138,0,"[3, 0, 0, 0]","[3, 0, 0, 0]"
