idx,move
2570,"[3, 0, 0, 0, 0, 3]"
367,"[0, 0, 0, 0]"
3150,"[3, 3, 3, 3, 3, 1, 1, 1]"
1926,"[3, 3, 3, 3, 3, 0, 0]"
1905,"[3, 0, 0, 0, 2, 2, 2, 2, 2, 0]"
2468,"[0, 0, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1]"
100,"[1, 1, 2, 2, 2, 2]"
2437,"[2, 2, 2, 2, 2, 1, 1, 1]"
1803,"[1, 1, 1, 1, 3]"
2392,"[2, 2, 1, 1, 1, 1, 1, 3]"
60,"[0, 2, 2, 2, 2]"
432,"[3, 3, 3, 3, 1, 3, 1, 1, 1]"
290,"[3, 3, 3, 3, 3, 0]"
1675,"[0, 3, 3, 3, 3, 3, 1]"
2464,"[1, 0, 0, 3, 3, 3, 3, 3, 0]"
2473,"[3, 3, 1, 1, 1, 1, 3]"
1020,"[0, 2, 2, 0, 2, 2]"
71,"[0, 0, 0, 0, 2, 2, 2]"
2985,"[2, 0, 2, 2, 2, 2, 0, 0, 0, 0]"
999,"[2, 0, 2, 0, 0, 2, 2, 1]"
827,"[3, 3, 3, 3, 0, 0, 0, 0]"
1754,"[3, 3, 3, 3, 3, 1, 1, 1]"
1119,"[3, 3, 0, 0, 0, 0]"
2950,"[0, 0, 0, 0, 3, 3, 3, 3, 3]"
26,"[3, 0, 0, 0, 0, 0]"
500,"[0, 2, 2, 2, 2, 1]"
2361,"[3, 0, 0, 0, 0, 0, 2, 2, 2]"
2707,"[3, 3, 3, 0, 0, 0, 0]"
425,"[0, 3, 3, 3, 3, 3, 0, 0, 0, 0]"
2368,"[3, 3, 3, 3, 0]"
1925,"[3, 3, 3, 3, 3, 0, 0]"
1722,"[2, 2, 2, 2, 0]"
2447,"[2, 2, 2, 2, 1]"
2251,"[2, 2, 1, 1, 2, 2, 0, 2]"
2005,"[2, 2, 2, 1, 2, 1]"
1339,"[2, 2, 2, 0, 0, 0, 0]"
2384,"[3, 3, 3, 3, 3, 1]"
2362,"[2, 2, 2, 2, 2, 1]"
2556,"[1, 1, 1, 1, 1, 2, 2, 2, 3]"
2876,"[0, 0, 0, 0, 0, 3]"
1335,"[0, 0, 0, 0, 0, 3, 3, 3, 3]"
1905,"[3, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0]"
693,"[1, 3, 1, 3, 1, 1, 1]"
774,"[0, 0, 0, 0, 2, 2, 0]"
2865,"[1, 2, 2, 2, 2, 2]"
1969,"[1, 3, 3, 3, 3, 1]"
2837,"[0, 0, 0, 0, 3, 3, 3, 3, 0]"
2129,"[1, 1, 1, 1, 2]"
875,"[1, 2, 2, 2, 2]"
2723,"[2, 2, 2, 2, 0, 0]"
2676,"[3, 3, 3, 3]"
2174,"[1, 1, 3, 3, 3, 0, 3, 3]"
1634,"[0, 3, 3, 3, 3, 3, 2, 1, 1]"
2132,"[0, 0, 3, 3, 2, 0, 0]"
694,"[0, 0, 3, 0, 0, 0, 2, 2]"
2893,"[3, 3, 3, 3, 1]"
2985,"[0, 2, 2, 2, 2, 2, 0, 0, 0, 0]"
6,"[0, 0, 0, 0, 3, 3, 3, 0, 3, 3]"
1560,"[0, 2, 2, 2, 2]"
1076,"[0, 2, 2, 0, 0, 0, 3]"
2928,"[0, 0, 0, 0, 2]"
269,"[2, 0, 0, 0, 2, 2, 2, 0]"
1710,"[0, 3, 3, 3, 3, 3, 2]"
2604,"[2, 0, 0, 0, 2, 2, 2, 0]"
1077,"[3, 0, 0, 3, 3, 3, 3, 1]"
1741,"[0, 0, 0, 0, 3, 0]"
340,"[1, 1, 1, 1, 2, 2, 2, 2, 2]"
1135,"[2, 1, 0, 2, 2, 2, 2, 0, 0, 0, 0]"
2214,"[2, 0, 0, 0, 0, 0]"
618,"[2, 2, 1, 2, 1, 2, 2]"
3020,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 0]"
3224,"[3, 3, 3, 3, 3, 0, 0, 0, 0, 0]"
682,"[0, 2, 2, 2, 1, 1, 1, 1, 2]"
2000,"[2, 2, 2, 2, 2, 0]"
2471,"[0, 0, 0, 3, 3, 3, 0, 0]"
750,"[2, 1, 3, 2, 2, 3, 3, 1, 1, 1, 1, 2, 0, 2]"
3002,"[0, 0, 2, 2, 2, 2, 0, 2, 0]"
359,"[2, 2, 2, 3, 1, 2, 2, 2, 0, 0, 0, 0, 0]"
1166,"[1, 3, 3, 3, 3, 3]"
1128,"[2, 0, 0, 0, 0, 0]"
416,"[3, 3, 3, 3, 3, 2, 1]"
1484,"[1, 2, 2, 2, 2, 2, 1, 1]"
1871,"[3, 3, 3, 3, 3, 0]"
707,"[1, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
2144,"[3, 3, 3, 3, 3, 0]"
206,"[2, 3, 3, 1, 1, 1, 1, 3, 3, 3]"
2950,"[0, 0, 0, 0, 3, 3, 3, 3]"
791,"[1, 1, 1, 1, 2, 2]"
1587,"[3, 3, 3, 3, 0]"
2828,"[2, 2, 2, 2, 2]"
2158,"[0, 0, 0, 0, 3, 3]"
897,"[1, 1, 1, 1, 1, 3]"
